year,AveragePrice,Total Volume,4046,4225,4770,Total Bags in thousands,Small Bags in thousands,Large Bags,XLarge Bags,Tipo_conventional,Tipo_organic
2015,1.3755903829029397,4385465869,1709447236,1761051252,142770478,772192.2370299958,634682.705269998,132066400.48000011,5443128.280000004,2808.0,2807.0
2016,1.3386396011395996,4820887103,1525120178,1672725499,159877854,1463158.8665199988,1106494.2396199987,336626342.06000006,20038284.84000002,2808.0,2808.0
2017,1.515127577770011,4934302975,1652035467,1544732027,91215639,1646288.747340001,1222952.5248700017,399339040.1299991,23997172.339999992,2862.0,2860.0
2018,1.347530864197531,1382737705,460499094,407758040,22932180,491535.94750000077,360741.3677499993,123583987.8799999,7210591.869999993,648.0,648.0
