,index,Object Number,Object ID,Object Name,Title,Century,Medium,Dimensions,Link Resource,Country
30,120090,14.114.7,209263,Ceiling panel,Triumph of Mars,XVI,"Fresco, transferred to canvas and attached to wood panels",Overall: 31 × 31 7/8 in. (78.7 × 81 cm),http://www.metmuseum.org/art/collection/search/209263,Italy
31,120091,14.114.8,209264,Ceiling panel,The Chariot of Ceres,XVI,"Fresco, transferred to canvas and attached to wood panels",Overall: 31 × 30 1/8 in. (78.7 × 76.5 cm),http://www.metmuseum.org/art/collection/search/209264,Italy
32,120092,14.114.9,209265,Ceiling panel,Triumph of Cybele,XVI,"Fresco, transferred to canvas and attached to wood panels",Overall: 30 × 28 in. (76.2 × 71.1 cm),http://www.metmuseum.org/art/collection/search/209265,Italy
33,120093,14.114.10,209266,Ceiling panel,Triumph of Alexander,XVI,"Fresco, transferred to canvas and attached to wood panels",Overall: 30 1/4 × 28 1/2 in. (76.8 × 72.4 cm),http://www.metmuseum.org/art/collection/search/209266,Italy
34,120094,14.114.11,209267,Ceiling panel,Triumph of Amphitrite,XVI,"Fresco, transferred to canvas and attached to wood panels",Overall: 30 1/2 × 28 in. (77.5 × 71.1 cm),http://www.metmuseum.org/art/collection/search/209267,Italy
35,120095,14.114.12,209268,Ceiling panel,Triumph of a Warrior,XVI,"Fresco, transferred to canvas and attached to wood panels",Overall: 30 1/8 × 28 in. (76.5 × 71.1 cm),http://www.metmuseum.org/art/collection/search/209268,Italy
36,120096,14.114.22,209269,Ceiling panel,Venus and Cupid,XVI,"Fresco, transferred to canvas and attached to wood panels",Diameter: 19 3/8 in. (49.2 cm),http://www.metmuseum.org/art/collection/search/209269,Italy
37,120097,14.114.21,209270,Ceiling panel,The Three Graces,XVI,"Fresco, transferred to canvas and attached to wood panels",Diameter: 19 3/8 in. (49.2 cm),http://www.metmuseum.org/art/collection/search/209270,Italy
38,120098,14.114.20,209271,Ceiling panel,Jupiter and Antiope,XVI,"Fresco, transferred to canvas and attached to wood panels",Diameter: 19 3/8 in. (49.2 cm),http://www.metmuseum.org/art/collection/search/209271,Italy
39,120099,14.114.19,209272,Ceiling panel,"Bacchus, Pan and Silenus",XVI,"Fresco, transferred to canvas and attached to wood panels",Diameter: 19 3/8 in. (49.2 cm),http://www.metmuseum.org/art/collection/search/209272,Italy
40,120100,14.114.18,209273,Ceiling panel,Rape of Europa,XVI,"Fresco, transferred to canvas and attached to wood panels",Overall: 17 1/2 × 41 3/8 in. (44.5 × 105.1 cm),http://www.metmuseum.org/art/collection/search/209273,Italy
41,120101,14.114.17,209274,Ceiling panel,Hercules and Omphale,XVI,"Fresco, transferred to canvas and attached to wood panels",Overall: 17 1/4 × 39 in. (43.8 × 99.1 cm),http://www.metmuseum.org/art/collection/search/209274,Italy
42,120102,14.114.16,209275,Ceiling panel,Helle on a Ram,XVI,"Fresco, transferred to canvas and attached to wood panels",Overall: 24 3/8 × 39 in. (61.9 × 99.1 cm),http://www.metmuseum.org/art/collection/search/209275,Italy
43,120103,14.114.15,209276,Ceiling panel,Judgment of Paris,XVI,"Fresco, transferred to canvas and attached to wood panels",,http://www.metmuseum.org/art/collection/search/209276,Italy
44,120104,14.114.13,209277,Ceiling panel,Galatea (?),XVI,"Fresco, transferred to canvas and attached to wood panels",Overall: 24 7/8 × 39 3/8 in. (63.2 × 100 cm),http://www.metmuseum.org/art/collection/search/209277,Italy
45,120105,14.114.14,209278,Ceiling panel,Hunt of the Calydonian Boar,XVI,"Fresco, transferred to canvas and attached to wood panels",Overall: 24 7/8 × 40 7/8 in. (63.2 × 103.8 cm),http://www.metmuseum.org/art/collection/search/209278,Italy
46,120110,1998.204,209283,Frieze part,Military Procession,XVI,Oil on canvas,Overall: 37 3/8 × 65 in. (94.9 × 165.1 cm),http://www.metmuseum.org/art/collection/search/209283,Italy
47,139017,2004.352,231040,Toilet box,Toilet box,XVI,"Painted enamel on copper, partly gilt, glass",Diameter: approx. 3 in. (approx. 7.6 cm),http://www.metmuseum.org/art/collection/search/231040,Italy
48,119071,1992.405.1–.35,208094,Box,Impressions of intaglios after the statuary of Canova and Thorvaldsen,XIX,"Gesso, paper, leather",Overall: 10 × 6 3/4 × 2 3/16 in. (25.4 × 17.1 × 5.6 cm),http://www.metmuseum.org/art/collection/search/208094,Italy
49,102205,07.225.470,189727,Painting,Flowers in a Blue Vase,XVIII,Oil on canvas,Overall: 55 × 29 1/8 in. (139.7 × 74 cm),http://www.metmuseum.org/art/collection/search/189727,Netherlands
50,107210,24.106.2,195138,Wall covering,Wall covering,XVIII,"Oil on canvas, ""flocked""",Overall: 35 × 3 3/4 in. (88.9 × 9.5 cm),http://www.metmuseum.org/art/collection/search/195138,Netherlands
51,107211,24.106.3,195139,Wall covering,Wall covering,XVIII,Oil on canvas,Overall: 14 5/8 × 5 1/4 in. (37.1 × 13.3 cm),http://www.metmuseum.org/art/collection/search/195139,Netherlands
