,THEME,TITLE,ARTIST,YEAR,URL
55,Love,It’ll All Come Around,Patsy Gallant,1978,https://www.youtube.com/results?search_query=It’ll All Come Around Patsy Gallant
56,Love,Zing! Went the Strings of My Heart,Judy Garland,1939,http://open.spotify.com/track/2vIuGZHuGRqcydnsVFC7Vp
57,Love,Ain’t No Mountain High Enough,Marvin Gaye And Tammi Terrell,1967,http://open.spotify.com/track/77g8V7P1MkfiPXe8Rkxm7y
58,Love,You’re All I Need to Get By,Marvin Gaye And Tammi Terrell,1968,http://open.spotify.com/track/6L7r59rN9s4mBSxZDiElTp
59,Love,The Dutchman,Steve Goodman,1973,http://open.spotify.com/track/7gSXNrDpUr5mMDThxS6Y6i
60,Love,Let’s Get Married,Al Green,1974,https://www.youtube.com/results?search_query=Let’s Get Married Al Green
61,Love,Let’s Stay Together,Al Green,1971,http://open.spotify.com/track/1r5ix6rRcET3TUdnDSZ9Oo
62,Love,Love and Happiness,Al Green,1972,https://www.youtube.com/results?search_query=Love and Happiness Al Green
63,Love,Sweet Child O’ Mine,Guns N’ Roses,1987,http://open.spotify.com/track/5HzLcjDzlykkKC0rw2R6WJ
64,Love,I’m Into Something Good,Herman’s Hermits,1964,http://open.spotify.com/track/5tYLgBIbx3YVde84rRPNE9
65,Love,How Will I Know,Whitney Houston,1985,http://open.spotify.com/track/0xd9xioBzvbJ0KsqFUE1ob
66,Love,I’m So in Love,Leroy Hutson,1973,http://open.spotify.com/track/7yLQMOBHYEkFkFQcEoNEpR
67,Love,I’m So Proud,The Impressions,1964,http://open.spotify.com/track/6mLycrS3LfCUERnOWm8luW
68,Love,Night Nurse,Gregory Isaacs,1982,http://open.spotify.com/track/2lPfcRMRLffiBTwLA9S8Vc
69,Love,Summer Breeze,The Isley Brothers,1973,http://open.spotify.com/track/5tECQN3UPXULg4nzgkXM9r
70,Love,Are You Ready For Love,Elton John,1979,http://open.spotify.com/track/6TNHLD7QyX5KxdYmNwwDA6
71,Love,La Vie En Rose,Grace Jones,1977,http://open.spotify.com/track/50SLOKltoko04YawlAjDeH
72,Love,No One,Alicia Keys,2007,http://open.spotify.com/track/1exNQxJp0tHfKe85qUpRJF
73,Love,Stand By Me,Ben E King,1961,http://open.spotify.com/track/2FVHVmsUOyNnhlwtFLjoMF
74,Love,You Really Got Me,The Kinks,1964,http://open.spotify.com/track/0yjEOL4g41q4rAqoguFF0s
75,Love,Constant Craving,KD Lang,1992,http://open.spotify.com/track/77NdXr1ANwNkMEtgBNS2ZD
76,Love,Elusive Butterfly,Bob Lind,1966,http://open.spotify.com/track/226EXK5tPVsqaZ2y9RACR0
77,Love,Is This Love?,Bob Marley,1978,http://open.spotify.com/track/6wwxa6n8kSf3Bd0apxe0iy
78,Love,My Love,Paul McCartney and Wings,1973,http://open.spotify.com/track/5SL1Vx2h1ULwp1EKYKp1UN
79,Love,90% of Me is You,Gwen McRae,1974,http://open.spotify.com/track/4dz8fFVtr8dPMqGThk5Cbs
80,Love,Angel of the Morning,Merrilee and the Turnabouts,1968,https://www.youtube.com/results?search_query=Angel of the Morning Merrilee and the Turnabouts
81,Love,Can’t Get You Out of My Head,Kylie Minogue,2001,http://open.spotify.com/track/2HpWHLtZldOcDn5qzX8kb2
82,Love,Help Me,Joni Mitchell,1974,http://open.spotify.com/track/4gvV5Ib89fiwMtQ4biQQjd
83,Love,Madame George,Van Morrison,1968,http://open.spotify.com/track/0XGw1JFG1kE6rFi4rtvs7w
84,Love,You’ve Got a Friend,Randy Newman,1995,http://open.spotify.com/track/2O8YJmOg9lOgn5JNHF9Qi9
85,Love,"Oh, Pretty Woman",Roy Orbison,1964,http://open.spotify.com/track/2DGXmZPZ07HnWkFj3AayR0
86,Love,Puppy Love,Donny Osmond,1972,http://open.spotify.com/track/3ABtW1kSCzKlJGGDYFH7GV
87,Love,She,Gram Parsons,1973,http://open.spotify.com/track/0ik33iwk2do6Rf9rQs7e8X
88,Love,I Will Always Love You,Dolly Parton,1974,http://open.spotify.com/track/1n3q9eF2qqOaWHBBQHLRXw
89,Love,I’m in Love,Wilson Pickett,1967,http://open.spotify.com/track/4QDK12L3s53JECMOhx3mdh
90,Love,She is Beyond Good and Evil,The Pop Group,1979,http://open.spotify.com/track/2A99HGtYXdCZKYrvPqzA6v
91,Love,"Let’s Do It, Let’s Fall in Love",Cole Porter,1928,"https://www.youtube.com/results?search_query=Let’s Do It, Let’s Fall in Love Cole Porter"
92,Love,Can’t Help Falling in Love,Elvis Presley,1961,http://open.spotify.com/track/3Aw5RpV5q1zn66ck2jOQjs
93,Love,Love Me Tender,Elvis Presley,1956,http://open.spotify.com/track/65An7RQuVbAipQIYhJu0YJ
94,Love,I’ll Stand By You,The Pretenders,1994,http://open.spotify.com/track/2bFG1ywgBAyZbJGMApTPfJ
95,Love,That Old Black Magic,Louis Prima and Keely Smith ,1959,http://open.spotify.com/track/0e7LFGPufvU4ITix9vNSuc
96,Love,Let’s Get Married,The Proclaimers,1994,http://open.spotify.com/track/3P7bVGMkeVSJBOqQXPNJit
97,Love,You’re My Best Friend,Queen,1975,http://open.spotify.com/track/0WMmdTiZrDkObaABU7mylW
98,Love,Kehma Hi Kya,A R Rahman,1995,https://www.youtube.com/results?search_query=Kehma Hi Kya A R Rahman
99,Love,Unchained Melody,The Righteous Brothers,1965,http://open.spotify.com/track/2ACjOtICHXrAlP3ijVMSvb
100,Love,Umbrella,Rihanna,2007,http://open.spotify.com/track/0dOAByk7pJESaNScxIr5wI
101,Love,You’ve Really Got a Hold On Me,Smokey Robinson and the Miracles,1962,http://open.spotify.com/track/7oLlI6vGHjjFfLkq0fq89A
102,Love,Be My Baby,The Ronettes,1963,http://open.spotify.com/track/0eXzLs2mOlkZXeftGN0SNH
103,Love,Valerie,Mark Ronson featuring Amy Winehouse,2007,http://open.spotify.com/track/6wrRgHFLe5RgQLBVbnqCCe
104,Love,I Saw the Light,Todd Rundgren,1972,http://open.spotify.com/track/2QNMAvCnpIN6P43f8HPKp1
105,Love,Leader of the Pack,The Shangri-Las,1964,http://open.spotify.com/track/7rwBWEQ6APQBQ5sFDOytDb
106,Love,Will You Love Me Tomorrow?,The Shirelles,1961,http://open.spotify.com/track/5SqfqdRQBq3JttB5Nh08H2
107,Love,Bridge Over Troubled Water,Simon and Garfunkel,1970,http://open.spotify.com/track/1eAVDtuGhk1lVVjMbmFvsi
108,Love,Fly Me to the Moon,Frank Sinatra,1966,http://open.spotify.com/track/09ityNOMUHKZ1sldYGWRCk
109,Love,Get Me to the Church On Time,Frank Sinatra,1966,https://www.youtube.com/results?search_query=Get Me to the Church On Time Frank Sinatra
110,Love,Love and Marriage,Frank Sinatra,1955,http://open.spotify.com/track/16y88kDkX8kgzFHMnXr33D
111,Love,True Love Travels on a Gravel Road,Percy Sledge,1969,http://open.spotify.com/track/38r31rrb3wYnNPa3TCn4Mn
112,Love,It Must Be Love,Labi Siffre,1971,http://open.spotify.com/track/2kLNtPuucbm4kPhzWpuOOM
113,Love,Frederick,Patti Smith,1979,http://open.spotify.com/track/7AXFxcR4QfoTPaWinYCFB3
114,Love,There is a Light That Never Goes Out,The Smiths,1986,https://www.youtube.com/results?search_query=There is a Light That Never Goes Out The Smiths
115,Love,I Got You Babe,Sonny and Cher,1965,http://open.spotify.com/track/4TbuzNasQqnKJc3bJdZ0wZ
116,Love,You Gotta Come a Little Closer,Soul Brothers Six,1973,https://www.youtube.com/results?search_query=You Gotta Come a Little Closer Soul Brothers Six
117,Love,Wannabe,The Spice Girls,1996,http://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT
118,Love,I’ll Be Around,The Spinners,1972,http://open.spotify.com/track/2vLaES21zwbX1Rnmj56Bbb
119,Love,Mandolin Wind,Rod Stewart,1971,http://open.spotify.com/track/2YIJ6PXSWgwo25sE9eIzuU
120,Love,She Bangs the Drums,The Stone Roses,1989,http://open.spotify.com/track/5b6sFRZWMfcunej0zWE28r
121,Love,I Feel Love ,Donna Summer,1977,http://open.spotify.com/track/6efRrfjV1YW1rtecLUHoP1
122,Love,Baby Love,The Supremes,1964,http://open.spotify.com/track/5uM9zdUz8PpYJME9wZCM4W
123,Love,Stoned Love,The Supremes,1970,https://www.youtube.com/results?search_query=Stoned Love The Supremes
124,Love,You Can’t Hurry Love,The Supremes,1966,http://open.spotify.com/track/046ZhBbIMSnG3UXHXJD1cy
125,Love,Why Do Fools Fall in Love?,The Teenagers featuring Frankie Lymon,1956,http://open.spotify.com/track/2xKfXRhw5xaUXfevJJspZf
126,Love,My Girl,The Temptations,1964,http://open.spotify.com/track/0651FOAfvX33QIjpYL4F95
127,Love,Gloria,Them,1964,http://open.spotify.com/track/4VS4B6BjBK6liTPCf8O4aJ
128,Love,Here Comes the Night,Them/Van Morrison,1965,http://open.spotify.com/track/7knFQrGf88XnKjgyGrB70p
129,Love,"River Deep, Mountain High",Ike and Tina Turner,1966,http://open.spotify.com/track/4psjgB5e5HIuUeSVbEUY64
130,Love,Terry,Twinkle,1964,https://www.youtube.com/results?search_query=Terry Twinkle
131,Love,Mad About the Boy,Dinah Washington,1952,http://open.spotify.com/track/3q393Yh4k0cu2wlTgyiW4v
132,Love,Wichita Linesman,Jimmy Webb,1968,http://open.spotify.com/track/4LKUWvk6kQDJSTkxP6TUYN
133,Love,You Do Something to Me,Paul Weller,1995,http://open.spotify.com/track/0qWQxgHDjlE1kcLP0SHkRK
134,Love,Music to Watch Girls By,Andy Williams,1967,http://open.spotify.com/track/5khJtAAIdaXwr3ZsQvvVv4
135,Love,Do I Love You (Indeed I Do),Frank Wilson,1966,http://open.spotify.com/track/6QtbZ4rI3fJRufeNyi19Nd
136,Love,Lean on Me,Bill Withers,1972,http://open.spotify.com/track/4IXTOcB1eMoE7dkBs6oRHr
137,Love,Like a Hurricane,Neil Young,1977,http://open.spotify.com/track/1756tFft3p2hTUBzg9bKdQ
138,Love,Only Love Can Break Your Heart,Neil Young,1970,http://open.spotify.com/track/3nQBejgpXbSdWpJsXKYWye
139,Heartbreak,Tears Are Not Enough,ABC,1981,http://open.spotify.com/track/1DsmvwImEiDU0tLMOvOJZD
140,Heartbreak,The Winner Takes It All,Abba,1980,http://open.spotify.com/track/1g1RLXmuXu7HpMA6gmiYve
141,Heartbreak,Call Me on Your Way Back Home,Ryan Adams,2000,https://www.youtube.com/results?search_query=Call Me on Your Way Back Home Ryan Adams
142,Heartbreak,Never Ever,All Saints,1997,http://open.spotify.com/track/7ziHnshbknkpFLDW5yGBjO
143,Heartbreak,Please Give Me Something,Bill Allen and the Backbeats,1958,http://open.spotify.com/track/66auDFwg9lKmIYGQzEwHn5
144,Heartbreak,Without You,Badfinger,1970,http://open.spotify.com/track/5GFV9C9D7EztSc0bMzF9ss
145,Heartbreak,Diamonds and Rust,Joan Baez,1975,http://open.spotify.com/track/5lZ4Dm9BBGcCBVbfzxnyCX
146,Heartbreak,You’ve Got to Hide Your Love Away,The Beatles,1965,https://www.youtube.com/results?search_query=You’ve Got to Hide Your Love Away The Beatles
147,Heartbreak,The Boy Done Wrong Again,Belle and Sebastian,1996,http://open.spotify.com/track/4lNs7YerSrW3dxxWHDRSIs
148,Heartbreak,Heart of Glass,Blondie,1978,http://open.spotify.com/track/0a4agFmqHXxcZl1nho1BxM
149,Heartbreak,One Way Or Another,Blondie,1979,http://open.spotify.com/track/5Q7cE6wGHMehLFo2ppkk5D
150,Heartbreak,Flume,Bon Iver,2008,http://open.spotify.com/track/6WlS5FP9XcB410zta3C67v
151,Heartbreak,Bed is For Sleeping,Bonnie ‘Prince’ Billy and Matt Sweeney,2005,https://www.youtube.com/results?search_query=Bed is For Sleeping Bonnie ‘Prince’ Billy and Matt Sweeney
152,Heartbreak,Letter to Hermione,David Bowie,1969,http://open.spotify.com/track/13YcDQxaOktczzQBliAISJ
153,Heartbreak,Repetition,David Bowie,1979,http://open.spotify.com/track/6Q4S1KWuAg082DHm6BsazJ
154,Heartbreak,He Wasn’t Man Enough ,Toni Braxton,2000,http://open.spotify.com/track/2uHlwcSyNpekOl9EybwVaU
155,Heartbreak,Lua,Bright Eyes,2005,http://open.spotify.com/track/5bGoxCHvVavcFeQnI6NvUz
156,Heartbreak,Ever Fallen in Love (With Someone You Shouldn’t’ve),Buzzcocks,1978,http://open.spotify.com/track/4JXtIl8MKQT9Q7XkVvWV2I
157,Heartbreak,I Still Miss Someone,Johnny Cash,1959,http://open.spotify.com/track/17ULcItopPiilP1gIPrJvR
158,Heartbreak,Far From Me,Nick Cave,1997,http://open.spotify.com/track/6CjDPROOVDYN4v1JuidAJE
159,Heartbreak,Where Were You,Vic Chesnutt,1991,https://www.youtube.com/results?search_query=Where Were You Vic Chesnutt
160,Heartbreak,Since U Been Gone,Kelly Clarkson,2004,http://open.spotify.com/track/07r3phrnaEUfoaauHHQXj6
161,Heartbreak,Should I Stay Or Should I Go,The Clash,1982,http://open.spotify.com/track/0uwXVXNfzPJtpv3iCBAgDD
162,Heartbreak,Crazy,Patsy Cline,1961,http://open.spotify.com/track/32EaJ4sUH4GrGfXulPltIi
163,Heartbreak,"So Long, Marianne",Leonard Cohen,1967,http://open.spotify.com/track/75uA4upcHXXxVfaY9eYdSK
164,Heartbreak,The Scientist,Coldplay,2002,http://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
165,Heartbreak,Against All Odds (Take a Look at Me Now),Phil Collins,1984,http://open.spotify.com/track/5b6vClAj7N7VFLXEso3hEY
166,Heartbreak,Don’t Leave Me This Way,The Communards,1986,http://open.spotify.com/track/6G27JoyRv8Ly085NkPIRWB
167,Heartbreak,Either Side of the Same Town,Elvis Costello ,2004,http://open.spotify.com/track/1TDyLMqyVcFnN4Gwb2Lk25
