,THEME,TITLE,ARTIST,YEAR,URL
230,Sex,Let’s Talk About Sex,Salt-n-Pepa,1990,https://www.youtube.com/results?search_query=Let’s Talk About Sex Salt-n-Pepa
231,Heartbreak,Ur So Gay,Katy Perry,2007,http://open.spotify.com/track/5monag19nA467DCEUmE7Lq
232,Heartbreak,Divorce Song,Liz Phair,1993,https://www.youtube.com/results?search_query=Divorce Song Liz Phair
233,Heartbreak,Can’t Stand Losing You,The Police,1978,http://open.spotify.com/track/1VKbWRpwV2XXSJSZ2w534h
234,Heartbreak,Every Breath You Take,The Police,1983,http://open.spotify.com/track/0A4Btqar6Y5B4hfs9pZnSE
235,Heartbreak,Always on My Mind,Elvis Presley,1972,http://open.spotify.com/track/7mm18MJI4UpSS2IfsId0qB
236,Heartbreak,Suspicious Minds,Elvis Presley,1969,http://open.spotify.com/track/21uqk0VElbm5bxCNTR3E6M
237,Heartbreak,Beware of Young Girls,Dory Previn,1970,http://open.spotify.com/track/6G73YaSHMs0tP2gCNvSnjE
238,Heartbreak,When Doves Cry,Prince,1984,http://open.spotify.com/track/5OLaGD9QaSn2pRmBr6hYqb
239,Heartbreak,Jaan Pehechaan Ho,Mohammed Rafi,1965,http://open.spotify.com/track/6o1fs0vkkFGT8lSkMAXe1o
240,Heartbreak,Sad Song,Lou Reed,1973,https://www.youtube.com/results?search_query=Sad Song Lou Reed
241,Heartbreak,Everybody Hurts,REM,1992,http://open.spotify.com/track/28AZM08WStiEXfqN065BvN
242,Heartbreak,The One I Love,REM,1987,http://open.spotify.com/track/3k5BXtsudQFynAlzYIzCgF
243,Heartbreak,You’ve Lost That Lovin’ Feelin’,The Righteous Brothers,1964,http://open.spotify.com/track/4Y7jrcaXsSFyf5g4YLcAaB
244,Heartbreak,Stupid Girl,The Rolling Stones,1966,http://open.spotify.com/track/1jlF5p7TTVhT1pvk1jdxZz
245,Heartbreak,Under My Thumb,The Rolling Stones,1966,http://open.spotify.com/track/4H5hI3u6LmIRlXnWR89opX
246,Heartbreak,(The Best Part of) Breakin’ Up,The Ronettes,1964,https://www.youtube.com/results?search_query=(The Best Part of) Breakin’ Up The Ronettes
247,Heartbreak,What Becomes of the Broken Hearted,Jimmy Ruffin,1966,http://open.spotify.com/track/019nGMMof2yYp0zIdnbxSV
248,Heartbreak,A Little Lost,Arthur Russell,1994,https://www.youtube.com/results?search_query=A Little Lost Arthur Russell
249,Heartbreak,Nobody Does it Better,Carly Simon,1977,http://open.spotify.com/track/240vi0Gt8ZOdPwC1PbzfUJ
250,Heartbreak,You’re So Vain,Carly Simon,1972,http://open.spotify.com/track/46aRTYYXkN8ok6fnv9ljvr
251,Heartbreak,50 Ways to Leave Your Lover,Paul Simon,1975,http://open.spotify.com/track/2VrS8weZmIHO4LtRQibMvJ
252,Heartbreak,Only the Lonely,Frank Sinatra,1958,http://open.spotify.com/track/3il33mhbtAFCpdBNvNyymr
253,Heartbreak,All Or Nothing,The Small Faces,1966,http://open.spotify.com/track/3NkE5aI8aPPnoG8w2xBwNF
254,Heartbreak,I Know It’s Over,The Smiths,1986,https://www.youtube.com/results?search_query=I Know It’s Over The Smiths
255,Heartbreak,"Please, Please, Please Let Me Get What I Want",The Smiths,1984,"https://www.youtube.com/results?search_query=Please, Please, Please Let Me Get What I Want The Smiths"
256,Heartbreak,Left Only With Love,Smog,1998,https://www.youtube.com/results?search_query=Left Only With Love Smog
257,Heartbreak,Broken Heart,Spiritualized,1997,https://www.youtube.com/results?search_query=Broken Heart Spiritualized
258,Heartbreak,I Just Don’t Know What to Do With Myself,Dusty Springfield,1964,http://open.spotify.com/track/4qrEIcw64kbDgSK5QRkkAC
259,Heartbreak,You Don’t Have to Say You Love Me,Dusty Springfield,1966,http://open.spotify.com/track/2djMjbwwD6aeN029drEul0
260,Heartbreak,Maggie May,Rod Stewart,1971,http://open.spotify.com/track/5bnmFqpNi0JsOUQgQaGtzC
261,Heartbreak,Dry Your Eyes,The Streets,2004,http://open.spotify.com/track/1DlCpos9Lj8pK6cYMRjipp
262,Heartbreak,Last Nite,The Strokes,2001,http://open.spotify.com/track/7kzKAuUzOITUauHAhoMoxA
263,Heartbreak,Where Did Our Love Go?,The Supremes,1964,http://open.spotify.com/track/6yz8hKpO3s2byra8Et3w9x
264,Heartbreak,You Keep Me Hangin’ On,The Supremes,1966,http://open.spotify.com/track/6tLPgXlqugmn2XfNnmGoVp
265,Heartbreak,(My Heart Is) Closed for the Season  ,Bettye Swann,1968,http://open.spotify.com/track/6AS7rbXQIE2cSCtNXg3RPm
266,Heartbreak,Back for Good,Take That,1995,http://open.spotify.com/track/1cnoj3gWltCrWBZ77jZtmj
267,Heartbreak,No Scrubs,TLC,1999,http://open.spotify.com/track/5iJUGd5boRXsCmW00B3Mtq
268,Heartbreak,With Or Without You,U2,1987,http://open.spotify.com/track/2JZfTvWWtpaE8NohqRXqFr
269,Heartbreak,Give Me the Reason,Luther Vandross,1986,http://open.spotify.com/track/54yoy5MG6SVPB5wdneXAW7
270,Heartbreak,Femme Fatale,The Velvet Underground and Nico,1967,http://open.spotify.com/track/63uM3G418omzGOIT9ltPmt
271,Heartbreak,Ruby’s Arms,Tom Waits,1980,http://open.spotify.com/track/0YUvSNoGzYp67QjLOmzVnW
272,Heartbreak,Make it Easy on Yourself,The Walker Brothers,1965,http://open.spotify.com/track/5RT0MynLRywe8D3UHJ4UNG
273,Heartbreak,Walk on By,Dionne Warwick,1964,http://open.spotify.com/track/6xS9VDmREYFio4BNGFImjc
274,Heartbreak,Gold Digger,Kanye West,2005,http://open.spotify.com/track/5sSxgpqqZEAdwfRYVze4fU
275,Heartbreak,Say You Will ,Kanye West,2008,http://open.spotify.com/track/57wUNWELIZOReROLzol83e
276,Heartbreak,Substitute,The Who,1966,http://open.spotify.com/track/6AtYt0gDIi6I38fOfkV31y
277,Heartbreak,"Cold, Cold Heart",Hank Williams,1951,http://open.spotify.com/track/56KLeNPhvXXyXGQ9TEYDCC
278,Heartbreak,No Regrets,Robbie Williams,1998,http://open.spotify.com/track/2h4Lh23FF8OQ8uGBnOdepy
279,Heartbreak,Stronger Than Me,Amy Winehouse,2003,http://open.spotify.com/track/5Q8nk53ZSOoCCoMHcyUj8X
280,Heartbreak,You Know I’m No Good,Amy Winehouse,2006,http://open.spotify.com/track/0u8ekDfiPVBsju2LBLvDvI
281,Heartbreak,Ain’t No Sunshine,Bill Withers,1971,http://open.spotify.com/track/7u9s9Kn0J9U69J0qQV3E5M
282,Heartbreak,Use Me,Bill Withers,1972,http://open.spotify.com/track/7bIC3bWre8rInwCizxLMPQ
283,Heartbreak,D-I-V-O-R-C-E,Tammy Wynette,1968,https://www.youtube.com/results?search_query=D-I-V-O-R-C-E Tammy Wynette
284,Heartbreak,A Man Needs a Maid,Neil Young,1972,http://open.spotify.com/track/09EdAJXci83YhVYUaZtLOw
285,People and places,"New York, New York",Ryan Adams,2001,http://open.spotify.com/track/6n0uVCp7GKgS0N7yCiIjYG
286,People and places,Lake Shore Drive,Aliotta Haynes Jeremiah,1971,https://www.youtube.com/results?search_query=Lake Shore Drive Aliotta Haynes Jeremiah
287,People and places,I’ve Got to Go Back Home,Bob Andy,1966,https://www.youtube.com/results?search_query=I’ve Got to Go Back Home Bob Andy
288,People and places,We Gotta Get Out of This Place,The Animals,1965,http://open.spotify.com/track/385Z5UTDZvJMvhOAiURcHY
289,People and places,A Certain Romance,Arctic Monkeys,2006,http://open.spotify.com/track/1sW0hSskhK2o3okrBoNd57
290,People and places,Chicago,Roy Ayers,1983,http://open.spotify.com/track/6mWaJR3Wz8XcujkKd48oy6
291,People and places,"Fun, Fun, Fun",The Beach Boys,1964,http://open.spotify.com/track/0kRivH04RZLdKhD5wX1h1D
292,People and places,Eleanor Rigby,The Beatles,1966,https://www.youtube.com/results?search_query=Eleanor Rigby The Beatles
293,People and places,Doctor Robert,The Beatles,1966,https://www.youtube.com/results?search_query=Doctor Robert The Beatles
294,People and places,Drive My Car,The Beatles,1965,https://www.youtube.com/results?search_query=Drive My Car The Beatles
295,People and places,Penny Lane,The Beatles,1967,https://www.youtube.com/results?search_query=Penny Lane The Beatles
296,People and places,She’s Leaving Home,The Beatles,1967,https://www.youtube.com/results?search_query=She’s Leaving Home The Beatles
297,People and places,Strawberry Fields Forever,The Beatles,1967,https://www.youtube.com/results?search_query=Strawberry Fields Forever The Beatles
298,People and places,I Left My Heart in San Francisco,Tony Bennett,1962,http://open.spotify.com/track/6T4wzk2iyRcdmEQUcqk1s8
299,People and places,"Memphis, Tennessee",Chuck Berry,1959,http://open.spotify.com/track/289AKX6diQ7eCcvJLb5pC3
300,People and places,No Particular Place to Go,Chuck Berry,1964,http://open.spotify.com/track/0ibuBDbT4tKNA1ugKK92AI
301,People and places,Johnny B Goode,Chuck Berry,1958,http://open.spotify.com/track/78gvEiVlnMd1f5adOHjJxP
302,People and places,Tribute to Buddy Holly,Mike Berry and the Outlaws,1961,https://www.youtube.com/results?search_query=Tribute to Buddy Holly Mike Berry and the Outlaws
303,People and places,Jerusalem,"William Blake, Charles Hubert and Hastings Parry",1916,"https://www.youtube.com/results?search_query=Jerusalem William Blake, Charles Hubert and Hastings Parry"
304,People and places,Ain’t No Love in the Heart of the City,Bobby Bland,1974,https://www.youtube.com/results?search_query=Ain’t No Love in the Heart of the City Bobby Bland
305,People and places,Hernando’s Hideaway,Archie Bleyer,1954,http://open.spotify.com/track/5l14z1uDc6xwMohyYuhOfM
306,People and places,For Tomorrow,Blur,1993,http://open.spotify.com/track/6j8paOITkZ5Ybrg5osqeVk
307,People and places,Life On Mars?,David Bowie,1971,http://open.spotify.com/track/1EdKQ7nYYmMEsrcehcHf4Q
308,People and places,Space Oddity,David Bowie,1969,http://open.spotify.com/track/7IBfmCrfaR3SLVemWhsucQ
309,People and places,Nights in New York City,Jan Bradley,1968,https://www.youtube.com/results?search_query=Nights in New York City Jan Bradley
310,People and places,Levi Stubbs’ Tears,Billy Bragg,1986,https://www.youtube.com/results?search_query=Levi Stubbs’ Tears Billy Bragg
311,People and places,Rocket 88,Jackie Brenston and His Delta Cats,1951,http://open.spotify.com/track/2D4CW43Ewl0UZvrn9E2bo3
312,People and places,Blackwater Side,Anne Briggs,1971,https://www.youtube.com/results?search_query=Blackwater Side Anne Briggs
313,People and places,Smalltown Boy,Bronski Beat,1984,http://open.spotify.com/track/1nz1xzqPN4xYZtR4zgiLxt
314,People and places,Eight Miles High,The Byrds,1966,http://open.spotify.com/track/3M2vp32P9xXHsVRcva9G5c
315,People and places,Galveston,Glen Campbell,1969,http://open.spotify.com/track/7GCNh1ibQiae8aimaEUOFq
316,People and places,Minnie the Moocher,Cab Calloway,1931,http://open.spotify.com/track/1Ns0szGnyIV7BLkWsrkdVu
317,People and places,Drive,The Cars,1984,http://open.spotify.com/track/2KjYhaRlB5NtCJ0JotvJhZ
318,People and places,Scarborough Fair,Martin Carthy,1965,https://www.youtube.com/results?search_query=Scarborough Fair Martin Carthy
319,People and places,I’m Free From the Chain Gang Now,Johnny Cash,2006,http://open.spotify.com/track/52HE6vtu3RydAcSDK3YuuN
320,People and places,Folsom Prison Blues,Johnny Cash,1955,http://open.spotify.com/track/7BuR7aWjwtMnejLYeh8FZk
321,People and places,King of Bongo,Manu Chao,1998,https://www.youtube.com/results?search_query=King of Bongo Manu Chao
322,People and places,Georgia on My Mind,Ray Charles,1960,http://open.spotify.com/track/5pnvs9jplQQE7uxdyHhTta
323,People and places,Lonely Avenue,Ray Charles,1956,http://open.spotify.com/track/43mBBdRU6GfinobxcDyufp
324,People and places,LA Freeway,Guy Clark,1975,http://open.spotify.com/track/0FIn08OKKHVRSFJfm6QBmS
325,People and places,London Calling,The Clash,1979,http://open.spotify.com/track/6UxHw23oizTlIyolc4Alaz
326,People and places,Many Rivers to Cross,Jimmy Cliff,1969,http://open.spotify.com/track/1dr5J5vp2lomzdDPcv4CvG
327,People and places,Riot in Cell Block #9,The Coasters,1954,http://open.spotify.com/track/5Hl3bPQuASTEb4t3GxhlkI
328,People and places,Chelsea Hotel #2,Leonard Cohen,1974,http://open.spotify.com/track/48WhdGNxaxHMdRxs11ampi
329,People and places,First We Take Manhattan,Leonard Cohen,1988,http://open.spotify.com/track/6C7z72JkQtC08oKYLsz791
330,People and places,The Banks of the Sweet Primroses,Shirley Collins,1967,https://www.youtube.com/results?search_query=The Banks of the Sweet Primroses Shirley Collins
331,People and places,Taxes on the Farmer Feeds Us All,Ry Cooder,1972,https://www.youtube.com/results?search_query=Taxes on the Farmer Feeds Us All Ry Cooder
332,People and places,Chain Gang,Sam Cooke,1960,http://open.spotify.com/track/2v3StB7FS2bUZNSWWInRN7
333,People and places,Brother Can You Spare a Dime?,Bing Crosby,1932,http://open.spotify.com/track/2Ei1sEtJU0ENRvk3sKZx0X
334,People and places,Beyond the Sea,Bobby Darin,1959,http://open.spotify.com/track/1xeEkk0av46GZ4Ztq1dUEM
335,People and places,Mack the Knife ,Bobby Darin,1959,http://open.spotify.com/track/35hKX7JI7gvQ0oKna8895l
336,People and places,007 (Shanty Town),Desmond Dekker,1967,http://open.spotify.com/track/7hwvbkchjTc5JXEZ4xmQX7
337,People and places,Geno,Dexys Midnight Runners,1980,http://open.spotify.com/track/7gb626DDDHoiuVAGZEnlJk
338,People and places,Roadrunner,Bo Diddley,1960,http://open.spotify.com/track/0D98Qv08oIWYoSgVigHy9a
339,People and places,The Wanderer,Dion,1961,http://open.spotify.com/track/0tk8p69r1Ed2OuqiXxHdAQ
340,People and places,Sunny Goodge Street,Donovan,1965,http://open.spotify.com/track/0W0WuexnXG8xdSnTIHKnrQ
341,People and places,Black and White Town,Doves,2005,http://open.spotify.com/track/1RJxjF2aOMi1JLJ9K2PUJj
342,People and places,On Broadway,The Drifters,1963,http://open.spotify.com/track/1rDBmONfSiBaJJGqDH2OH5
343,People and places,Billericay Dickie,Ian Dury,1977,https://www.youtube.com/results?search_query=Billericay Dickie Ian Dury
344,People and places,Ballad of a Thin Man,Bob Dylan,1965,http://open.spotify.com/track/3Xbr9UqRIgo5I9Wna9sofg
345,People and places,Blind Willie McTell,Bob Dylan,1991,http://open.spotify.com/track/2HT5jSAGQtNJ6nM8dhvrng
346,People and places,Like a Rolling Stone,Bob Dylan,1965,http://open.spotify.com/track/4hR2PmKODnlFa5fe8iWzeo
347,People and places,The Mountain,Steve Earle,1999,https://www.youtube.com/results?search_query=The Mountain Steve Earle
348,People and places,Station Approach,Elbow,2005,https://www.youtube.com/results?search_query=Station Approach Elbow
349,People and places,Leave the Capitol,The Fall,1981,https://www.youtube.com/results?search_query=Leave the Capitol The Fall
350,People and places,Sin City,The Flying Burrito Brothers,1969,http://open.spotify.com/track/79eJ1pa0yAAFlloGPizz8W
351,People and places,Solsbury Hill,Peter Gabriel,1977,https://www.youtube.com/results?search_query=Solsbury Hill Peter Gabriel
352,People and places,Green Fields,"The Good, the Bad and the Queen",2007,"https://www.youtube.com/results?search_query=Green Fields The Good, the Bad and the Queen"
353,People and places,Over the Rainbow,Judy Garland,1939,http://open.spotify.com/track/1jNQ6e4Mze7QA3hPWbTv3B
354,People and places,Do Re Mi,Woody Guthrie,1940,http://open.spotify.com/track/2IsUkc97tIzMBQg67y3lVP
355,People and places,Big City,Merle Haggard,1981,http://open.spotify.com/track/2a57riblxsqxe1lV33JDTf
356,People and places,Tribute to Hank Williams,Tim Hardin,1967,http://open.spotify.com/track/7EIObUsjH82rWe34Alrou9
357,People and places,Boulder to Birmingham,Emmylou Harris ,1975,http://open.spotify.com/track/3PAnJueYX2pM8Ig0xSnkbI
358,People and places,Coles Corner,Richard Hawley,2005,http://open.spotify.com/track/5kGdayTmguCAZP87F56DUg
359,People and places,Just Like Eddie,Heinz,1963,http://open.spotify.com/track/3anKfvDNqW7dYBDEbmKzIn
360,People and places,Down in the Tube Station at Midnight,The Jam,1978,http://open.spotify.com/track/3pmY0mjzWegSxdMPwYZwSj
361,People and places,So What (Miles),Eddie Jefferson,1961,http://open.spotify.com/track/0PCrDhGtjxU660QHLUHYYc
362,People and places,Me and Bobby McGee,Janis Joplin,1971,http://open.spotify.com/track/6K81RptJZZaeEkqiV6kpyv
363,People and places,Cross Road Blues,Robert Johnson,1936,https://www.youtube.com/results?search_query=Cross Road Blues Robert Johnson
364,People and places,Choo Choo Ch’Boogie,Louis Jordan and His Tympany Five,1946,http://open.spotify.com/track/1bPpdLPZIi24zchWIGkI3H
365,People and places,Spanish Harlem,Ben E King,1961,http://open.spotify.com/track/3UCmuRdeTriWgOZMEJsfqZ
366,People and places,(Get Your Kicks On) Route 66,Nat King Cole,1946,http://open.spotify.com/track/3k0jloXIBRigk9z7TSxr48
367,People and places,Dead End Street,The Kinks,1966,http://open.spotify.com/track/2qYhnsUIiu31svhUA5yGZD
368,People and places,The Village Green Preservation Society,The Kinks,1968,https://www.youtube.com/results?search_query=The Village Green Preservation Society The Kinks
369,People and places,Waterloo Sunset,The Kinks,1967,http://open.spotify.com/track/2nlvl52hnkBMoWPmWChXM8
370,People and places,London is the Place For Me,Lord Kitchener,1951,https://www.youtube.com/results?search_query=London is the Place For Me Lord Kitchener
371,People and places,Trans-Europe Express,Kraftwerk,1977,http://open.spotify.com/track/0E4dDQtMRsh2hil3J9hTMj
372,People and places,Ramblin’ Man ,Lemon Jelly,2002,http://open.spotify.com/track/6gZy5D9PMscYWMM1VdvZZx
373,People and places,Kentucky,The Louvin Brothers,1956,http://open.spotify.com/track/15GmkMpAv2Q3txQLW2c1nZ
374,People and places,Sweet Home Alabama,Lynyrd Skynyrd,1974,http://open.spotify.com/track/1KZ1hkR3lxhIRW57sPaY07
375,People and places,California Dreamin’,The Mamas and the Papas,1965,http://open.spotify.com/track/1pxO7IS622Q8DQJ7uK7JRt
376,People and places,"No Woman, No Cry",Bob Marley and the Wailers,1974,http://open.spotify.com/track/2Fl520GM5Pq1yCxSruf3gj
377,People and places,Things Are Worse in Russia,Sam Mayo,1922,https://www.youtube.com/results?search_query=Things Are Worse in Russia Sam Mayo
378,People and places,Vincent,Don McLean,1971,http://open.spotify.com/track/6b2rn4db84W8Ntz66LHi53
379,People and places,Me and My Chauffeur Blues,Memphis Minnie,1941,http://open.spotify.com/track/1BrAqEZyBw7t4Qk5LdPq7w
380,People and places,Stack O’ Lee,Mississippi John Hurt,1928,http://open.spotify.com/track/2s4dwHpeGqoXNUXoyXyG1O
381,People and places,Diamonds Are a Girl’s Best Friend,Marilyn Monroe,1953,http://open.spotify.com/track/0wxF2Ia8RldcEHSlEope7i
382,People and places,Coney Island,Van Morrison,1989,http://open.spotify.com/track/51uJPonFb6B4bjVXXIb6oR
383,People and places,On the Road Again,Willie Nelson,1980,http://open.spotify.com/track/3c4gb10sLoDr3OCoLIKRqm
384,People and places,Cars,Gary Numan,1979,http://open.spotify.com/track/3CKLPDN1AIOYa7QPpy6oDH
385,People and places,A Few Words in Defense of Our Country,Randy Newman,2008,http://open.spotify.com/track/1IWtqdxdgO1ThXjfjXnsSU
386,People and places,Baltimore,Randy Newman,1977,https://www.youtube.com/results?search_query=Baltimore Randy Newman
387,People and places,I Love LA,Randy Newman,1983,https://www.youtube.com/results?search_query=I Love LA Randy Newman
388,People and places,I Guess the Lord Must Be in New York City,Nilsson,1969,http://open.spotify.com/track/6gu59Q2p1Zkx2jkMdJYO1X
389,People and places,Blue Bayou,Roy Orbison,1963,http://open.spotify.com/track/5GdSlf0Of1E67soyYauE1i
390,People and places,Domino,Roy Orbison,1956,http://open.spotify.com/track/12NYyFxVvXaa8XIZEErs2D
391,People and places,Bruton Town,Pentangle,1968,http://open.spotify.com/track/2pqiemaVZ6QjRYH5cPCfax
392,People and places,King’s Cross,Pet Shop Boys,1987,https://www.youtube.com/results?search_query=King’s Cross Pet Shop Boys
393,People and places,West End Girls,Pet Shop Boys,1985,http://open.spotify.com/track/5Dqik1P9toCJTLj5rEm78s
394,People and places,Mustang Sally,Wilson Pickett,1966,http://open.spotify.com/track/2AbmCE9mLpaVMyQeyvlgHN
395,People and places,Shine on You Crazy Diamond,Pink Floyd,1975,https://www.youtube.com/results?search_query=Shine on You Crazy Diamond Pink Floyd
396,People and places,Dirty Old Town,The Pogues,1985,http://open.spotify.com/track/7IMYW63MR1U33kX7LOecPl
397,People and places,Rainy Night in Soho,The Pogues,1985,http://open.spotify.com/track/6vSHxP7R5Ml9zqyO2JM5v9
398,People and places,Heartbreak Hotel,Elvis Presley,1956,http://open.spotify.com/track/4YpAvti84hmMqJwnAYawt5
399,People and places,Somewhere,PJ Proby,1964,http://open.spotify.com/track/5lz5nAO1HA7nntRU5k0IzH
400,People and places,Common People,Pulp,1995,http://open.spotify.com/track/3gc4sAYBuZDhbFfnauPqOf
401,People and places,"Bright Lights, Big City",Jimmy Reed,1961,http://open.spotify.com/track/3uNEUuL8U3RqHVyhiuD6DY
402,People and places,Berlin,Lou Reed,1973,https://www.youtube.com/results?search_query=Berlin Lou Reed
403,People and places,Roadrunner,Jonathan Richman and the Modern Lovers,1972,https://www.youtube.com/results?search_query=Roadrunner Jonathan Richman and the Modern Lovers
404,People and places,Harper Valley PTA,Jeannie C Riley ,1968,http://open.spotify.com/track/0nAHjZ9TJ6h4Hpy8lxlP6u
405,People and places,T for Texas,Jimmie Rodgers,1928,http://open.spotify.com/track/5pOTmneH4pTmhxaSLtrTM0
406,People and places,Moonlight Mile,The Rolling Stones,1971,http://open.spotify.com/track/19syRYigiBrdGj5HUqBjzx
407,People and places,Ruby Tuesday,The Rolling Stones,1967,http://open.spotify.com/track/5dv34fSvGLhCaPNjiytAva
408,People and places,Jenny Take a Ride ,Mitch Ryder and the Detroit Wheels,1965,http://open.spotify.com/track/5mgDZhN7E1nau6ZH2ENmUH
409,People and places,Chancery Lane,Bim Sherman,1978,https://www.youtube.com/results?search_query=Chancery Lane Bim Sherman
410,People and places,Graceland,Paul Simon,1986,http://open.spotify.com/track/0aeaKHM4KCULhqKk4QZzjT
411,People and places,The Late Great Johnny Ace,Paul Simon,1983,http://open.spotify.com/track/5ach2WWI5RD1FOjDArNlRh
412,People and places,Homeward Bound,Simon and Garfunkel,1966,http://open.spotify.com/track/0MhdnZTAPZmdEWa3alX8eM
413,People and places,Mrs Robinson,Simon and Garfunkel,1968,http://open.spotify.com/track/6J1sj9dcEM91H80NIz1Gpo
414,People and places,"New York, New York",Frank Sinatra,1980,http://open.spotify.com/track/4tMPwjAb9FYZ2HHgXj24LU
415,People and places,Jackson,Nancy Sinatra and Lee Hazlewood,1967,http://open.spotify.com/track/56LjYK1rKum8m1L7aIdfm4
416,People and places,Born to Run,Bruce Springsteen,1975,http://open.spotify.com/track/3JlWTo11ustqpPS1V7Jivs
417,People and places,Up the Junction,Squeeze,1979,http://open.spotify.com/track/1zWLu0Glg7glW6ulCfDbeN
418,People and places,Rank Stranger,The Stanley Brothers,1950,http://open.spotify.com/track/1AkjPhgexQuQkeJpB3sS5E
419,People and places,Born to Be Wild,Steppenwolf,1968,http://open.spotify.com/track/78OcvMkLFsRp5AJsRexfPX
420,People and places,The Boys Are Back in Town,Thin Lizzy,1976,http://open.spotify.com/track/3w7SMX2L4Tx6GAR8cr5H5L
421,People and places,54-46 (That’s My Number),Toots and the Maytals,1968,http://open.spotify.com/track/0KVxbnJ6OfDj6P47KogYo7
422,People and places,Snowin’ on Raton,Townes Van Zandt,1987,https://www.youtube.com/results?search_query=Snowin’ on Raton Townes Van Zandt
423,People and places,My Perfect Cousin,The Undertones,1980,http://open.spotify.com/track/2YGzQWJGukgL3eXslK1okj
424,People and places,In the Neighbourhood,Tom Waits,1983,https://www.youtube.com/results?search_query=In the Neighbourhood Tom Waits
425,People and places,"Johnsburg, Illinois",Tom Waits,1983,http://open.spotify.com/track/1Opgvak0Qc2kyLVLFbuu1V
426,People and places,Do You Know the Way to San José,Dionne Warwick,1968,http://open.spotify.com/track/3lVRhqxAiipuI4kPz4TF5W
427,People and places,Wild Wood,Paul Weller,1993,http://open.spotify.com/track/6YV6egaDLNWSxHenzsWE1y
428,People and places,Living for the City,Stevie Wonder,1973,http://open.spotify.com/track/1XtEFMgU5u5yHa5N4GxIbA
429,People and places,Master Blaster (Jammin),Stevie Wonder,1980,http://open.spotify.com/track/3Q5K3AUwRshY9TSXxRk3IW
430,Sex,Try Again,Aaliyah,2000,http://open.spotify.com/track/2CM7CAL7aJ5WkPU0oGbA96
431,Sex,Gimme! Gimme! Gimme! (A Man After Midnight),Abba,1979,http://open.spotify.com/track/2TjNlK2tNBxF8C8RIaK9Gb
432,Sex,You Shook Me All Night Long,AC/DC,1980,https://www.youtube.com/results?search_query=You Shook Me All Night Long AC/DC
433,Sex,Love in an Elevator,Aerosmith,1989,http://open.spotify.com/track/1SDr4rc6YRpaLDkJURW3sY
434,Sex,Smile,Lily Allen,2006,http://open.spotify.com/track/1elLIGWtTXFm5NSRHDa4w1
435,Sex,When The Sun Goes Down,Arctic Monkeys,2006,http://open.spotify.com/track/2iuIqCjjPKg3DYwHHAo0kJ
436,Sex,Come Again,Au Pairs,1981,https://www.youtube.com/results?search_query=Come Again Au Pairs
437,Sex,Another Girl,The Beatles,1965,https://www.youtube.com/results?search_query=Another Girl The Beatles
438,Sex,Norwegian Wood (This  Bird Has Flown),The Beatles,1965,https://www.youtube.com/results?search_query=Norwegian Wood (This  Bird Has Flown) The Beatles
439,Sex,My Ding-a-Ling,Chuck Berry,1972,http://open.spotify.com/track/2x54atSzwJO7zngKHdePjb
440,Sex,Kangaroo,Big Star,1978,https://www.youtube.com/results?search_query=Kangaroo Big Star
441,Sex,Je T’Aime ... Moi Non Plus,Jane Birkin and Serge Gainsbourg,1969,https://www.youtube.com/results?search_query=Je T’Aime ... Moi Non Plus Jane Birkin and Serge Gainsbourg
442,Sex,Girls and Boys,Blur,1994,http://open.spotify.com/track/3Y23PZn79fu2uaefLBCJyz
443,Sex,Tent,Bonzo Dog Doo-Dah Band,1969,http://open.spotify.com/track/1Iv81TnJcanYzk4uyewcNi
444,Sex,Cruisin’ the Streets,Boys Town Gang,1981,https://www.youtube.com/results?search_query=Cruisin’ the Streets Boys Town Gang
445,Sex,Get Up (I Feel Like Being a) Sex Machine,James Brown,1970,http://open.spotify.com/track/5uCdgBAqYPWQ2HGpJVGAeD
446,Sex,Get On Top,Tim Buckley,1972,http://open.spotify.com/track/2OqesAvEfzM5KvBHhRlz5l
447,Sex,Orgasm Addict,Buzzcocks,1977,http://open.spotify.com/track/4iUvyJkurdF6iDzdY4Z4al
448,Sex,Triad,The Byrds,1968,http://open.spotify.com/track/3Vcbq1XGXbvwXT9wC4XJjj
449,Sex,High Fidelity ,Elvis Costello and the Attractions,1980,http://open.spotify.com/track/0FKPuEwGl4zunq0HKcoxQ5
450,Sex,I Want You,Elvis Costello and the Attractions,1986,http://open.spotify.com/track/4LBnvKaSC9RqnFYA0LDIGt
451,Sex,Let’s Make Love and Listen to Death from Above,CSS,2006,http://open.spotify.com/track/4Cz17oLEdM9MY5BYtd0S2N
452,Sex,Brown Sugar,D’Angelo,1995,http://open.spotify.com/track/3tyUh8UpK0PVu00AjbP1UG
453,Sex,Say My Name,Destiny’s Child,1999,http://open.spotify.com/track/2gSyc23Hua25fqSFpgAh6W
454,Sex,Come On Eileen,Dexys Midnight Runners,1982,http://open.spotify.com/track/7L1h8TN56ynoes6aZ4kNs2
455,Sex,I Touch Myself,Divinyls,1991,http://open.spotify.com/track/6oNvmplQGUkmAh441Teows
456,Sex,Wake Up and Make Love With Me,Ian Dury and the Blockheads,1977,https://www.youtube.com/results?search_query=Wake Up and Make Love With Me Ian Dury and the Blockheads
457,Sex,I Want You,Bob Dylan,1966,http://open.spotify.com/track/6hMr51jPiGsyI16VfO8wmO
