Site,Reading Time,Pollutant Name,Value,Units,Provisional or Ratified
HP1,22/12/2018 00:00,NO,3.0,ug m-3,P
HP1,22/12/2018 01:00,NO,2.7,ug m-3,P
HP1,22/12/2018 02:00,NO,1.7,ug m-3,P
HP1,22/12/2018 03:00,NO,1.7,ug m-3,P
HP1,22/12/2018 04:00,NO,1.7,ug m-3,P
HP1,22/12/2018 05:00,NO,1.7,ug m-3,P
HP1,22/12/2018 06:00,NO,2.7,ug m-3,P
HP1,22/12/2018 07:00,NO,3.0,ug m-3,P
HP1,22/12/2018 08:00,NO,3.0,ug m-3,P
HP1,22/12/2018 09:00,NO,3.9,ug m-3,P
HP1,22/12/2018 10:00,NO,4.6,ug m-3,P
HP1,22/12/2018 11:00,NO,4.9,ug m-3,P
HP1,22/12/2018 12:00,NO,4.9,ug m-3,P
HP1,22/12/2018 13:00,NO,4.2,ug m-3,P
HP1,22/12/2018 14:00,NO,3.6,ug m-3,P
HP1,22/12/2018 15:00,NO,3.3,ug m-3,P
HP1,22/12/2018 16:00,NO,3.9,ug m-3,P
HP1,22/12/2018 17:00,NO,3.9,ug m-3,P
HP1,22/12/2018 18:00,NO,3.6,ug m-3,P
HP1,22/12/2018 19:00,NO,3.3,ug m-3,P
HP1,22/12/2018 20:00,NO,3.0,ug m-3,P
HP1,22/12/2018 21:00,NO,3.3,ug m-3,P
HP1,22/12/2018 22:00,NO,3.0,ug m-3,P
HP1,22/12/2018 23:00,NO,3.0,ug m-3,P
HP1,23/12/2018 00:00,NO,3.0,ug m-3,P
HP1,23/12/2018 01:00,NO,1.7,ug m-3,P
HP1,23/12/2018 02:00,NO,1.7,ug m-3,P
HP1,23/12/2018 03:00,NO,2.4,ug m-3,P
HP1,23/12/2018 04:00,NO,1.7,ug m-3,P
HP1,23/12/2018 05:00,NO,1.7,ug m-3,P
HP1,23/12/2018 06:00,NO,1.7,ug m-3,P
HP1,23/12/2018 07:00,NO,1.7,ug m-3,P
HP1,23/12/2018 08:00,NO,2.4,ug m-3,P
HP1,23/12/2018 09:00,NO,3.0,ug m-3,P
HP1,23/12/2018 10:00,NO,3.6,ug m-3,P
HP1,23/12/2018 11:00,NO,3.9,ug m-3,P
HP1,23/12/2018 12:00,NO,4.2,ug m-3,P
HP1,23/12/2018 13:00,NO,3.6,ug m-3,P
HP1,23/12/2018 14:00,NO,3.3,ug m-3,P
HP1,23/12/2018 15:00,NO,3.0,ug m-3,P
HP1,23/12/2018 16:00,NO,3.0,ug m-3,P
HP1,23/12/2018 17:00,NO,3.0,ug m-3,P
HP1,23/12/2018 18:00,NO,3.0,ug m-3,P
HP1,23/12/2018 19:00,NO,2.7,ug m-3,P
HP1,23/12/2018 20:00,NO,2.7,ug m-3,P
HP1,23/12/2018 21:00,NO,2.4,ug m-3,P
HP1,23/12/2018 22:00,NO,2.4,ug m-3,P
HP1,23/12/2018 23:00,NO,2.4,ug m-3,P
HP1,24/12/2018 00:00,NO,2.7,ug m-3,P
HP1,24/12/2018 01:00,NO,2.7,ug m-3,P
HP1,24/12/2018 02:00,NO,3.0,ug m-3,P
HP1,24/12/2018 03:00,NO,1.7,ug m-3,P
HP1,24/12/2018 04:00,NO,1.7,ug m-3,P
HP1,24/12/2018 05:00,NO,2.4,ug m-3,P
HP1,24/12/2018 06:00,NO,2.4,ug m-3,P
HP1,24/12/2018 07:00,NO,9.5,ug m-3,P
HP1,24/12/2018 08:00,NO,28.9,ug m-3,P
HP1,24/12/2018 09:00,NO,35.1,ug m-3,P
HP1,24/12/2018 10:00,NO,27.9,ug m-3,P
HP1,24/12/2018 11:00,NO,26.4,ug m-3,P
HP1,24/12/2018 12:00,NO,22.3,ug m-3,P
HP1,24/12/2018 13:00,NO,17.3,ug m-3,P
HP1,24/12/2018 14:00,NO,11.1,ug m-3,P
HP1,24/12/2018 15:00,NO,22.6,ug m-3,P
HP1,24/12/2018 16:00,NO,41.3,ug m-3,P
HP1,24/12/2018 17:00,NO,50.1,ug m-3,P
HP1,24/12/2018 18:00,NO,59.1,ug m-3,P
HP1,24/12/2018 19:00,NO,70.3,ug m-3,P
HP1,24/12/2018 20:00,NO,64.4,ug m-3,P
HP1,24/12/2018 21:00,NO,55.7,ug m-3,P
HP1,24/12/2018 22:00,NO,66.3,ug m-3,P
HP1,24/12/2018 23:00,NO,87.2,ug m-3,P
HP1,25/12/2018 00:00,NO,131.2,ug m-3,P
HP1,25/12/2018 01:00,NO,142.39999,ug m-3,P
HP1,25/12/2018 02:00,NO,125.2,ug m-3,P
HP1,25/12/2018 03:00,NO,102.5,ug m-3,P
HP1,25/12/2018 04:00,NO,61.6,ug m-3,P
HP1,25/12/2018 05:00,NO,73.2,ug m-3,P
HP1,25/12/2018 06:00,NO,71.6,ug m-3,P
HP1,25/12/2018 07:00,NO,76.6,ug m-3,P
HP1,25/12/2018 08:00,NO,34.2,ug m-3,P
HP1,25/12/2018 09:00,NO,46.6,ug m-3,P
HP1,25/12/2018 10:00,NO,31.4,ug m-3,P
HP1,25/12/2018 11:00,NO,24.8,ug m-3,P
HP1,25/12/2018 12:00,NO,20.1,ug m-3,P
HP1,25/12/2018 13:00,NO,11.4,ug m-3,P
HP1,25/12/2018 14:00,NO,4.2,ug m-3,P
HP1,25/12/2018 15:00,NO,3.9,ug m-3,P
HP1,25/12/2018 16:00,NO,3.0,ug m-3,P
HP1,25/12/2018 17:00,NO,3.0,ug m-3,P
HP1,25/12/2018 18:00,NO,3.0,ug m-3,P
HP1,25/12/2018 19:00,NO,3.9,ug m-3,P
HP1,25/12/2018 20:00,NO,4.6,ug m-3,P
HP1,25/12/2018 21:00,NO,3.0,ug m-3,P
HP1,25/12/2018 22:00,NO,3.3,ug m-3,P
HP1,25/12/2018 23:00,NO,3.3,ug m-3,P
HP1,26/12/2018 00:00,NO,3.0,ug m-3,P
HP1,26/12/2018 01:00,NO,3.0,ug m-3,P
HP1,26/12/2018 02:00,NO,3.0,ug m-3,P
HP1,26/12/2018 03:00,NO,3.0,ug m-3,P
HP1,26/12/2018 04:00,NO,3.0,ug m-3,P
HP1,26/12/2018 05:00,NO,3.0,ug m-3,P
HP1,26/12/2018 06:00,NO,3.6,ug m-3,P
HP1,26/12/2018 07:00,NO,5.5,ug m-3,P
HP1,26/12/2018 08:00,NO,9.5,ug m-3,P
HP1,26/12/2018 09:00,NO,10.8,ug m-3,P
HP1,26/12/2018 10:00,NO,8.0,ug m-3,P
HP1,26/12/2018 11:00,NO,4.2,ug m-3,P
HP1,26/12/2018 12:00,NO,4.2,ug m-3,P
HP1,26/12/2018 13:00,NO,3.6,ug m-3,P
HP1,26/12/2018 14:00,NO,3.0,ug m-3,P
HP1,26/12/2018 15:00,NO,3.0,ug m-3,P
HP1,26/12/2018 16:00,NO,3.0,ug m-3,P
HP1,26/12/2018 17:00,NO,3.0,ug m-3,P
HP1,26/12/2018 18:00,NO,3.0,ug m-3,P
HP1,26/12/2018 19:00,NO,4.6,ug m-3,P
HP1,26/12/2018 20:00,NO,9.9,ug m-3,P
HP1,26/12/2018 21:00,NO,25.8,ug m-3,P
HP1,26/12/2018 22:00,NO,14.5,ug m-3,P
HP1,26/12/2018 23:00,NO,18.3,ug m-3,P
HP1,27/12/2018 00:00,NO,30.4,ug m-3,P
HP1,27/12/2018 01:00,NO,41.3,ug m-3,P
HP1,27/12/2018 02:00,NO,34.8,ug m-3,P
HP1,27/12/2018 03:00,NO,53.2,ug m-3,P
HP1,27/12/2018 04:00,NO,31.4,ug m-3,P
HP1,27/12/2018 05:00,NO,33.9,ug m-3,P
HP1,27/12/2018 06:00,NO,32.3,ug m-3,P
HP1,27/12/2018 07:00,NO,47.6,ug m-3,P
HP1,27/12/2018 08:00,NO,63.5,ug m-3,P
HP1,27/12/2018 09:00,NO,85.6,ug m-3,P
HP1,27/12/2018 10:00,NO,102.8,ug m-3,P
HP1,27/12/2018 11:00,NO,98.7,ug m-3,P
HP1,27/12/2018 12:00,NO,106.8,ug m-3,P
HP1,27/12/2018 13:00,NO,99.0,ug m-3,P
HP1,27/12/2018 14:00,NO,74.1,ug m-3,P
HP1,27/12/2018 15:00,NO,96.5,ug m-3,P
HP1,27/12/2018 16:00,NO,104.6,ug m-3,P
HP1,27/12/2018 17:00,NO,119.3,ug m-3,P
HP1,27/12/2018 18:00,NO,143.0,ug m-3,P
HP1,27/12/2018 19:00,NO,121.2,ug m-3,P
HP1,27/12/2018 20:00,NO,157.3,ug m-3,P
HP1,27/12/2018 21:00,NO,176.7,ug m-3,P
HP1,27/12/2018 22:00,NO,172.60001,ug m-3,P
HP1,27/12/2018 23:00,NO,130.2,ug m-3,P
HP1,28/12/2018 00:00,NO,83.4,ug m-3,P
HP1,28/12/2018 01:00,NO,52.3,ug m-3,P
HP1,28/12/2018 02:00,NO,47.3,ug m-3,P
HP1,28/12/2018 03:00,NO,38.5,ug m-3,P
HP1,28/12/2018 04:00,NO,31.4,ug m-3,P
HP1,28/12/2018 05:00,NO,31.1,ug m-3,P
HP1,28/12/2018 06:00,NO,35.1,ug m-3,P
HP1,28/12/2018 07:00,NO,35.4,ug m-3,P
HP1,28/12/2018 08:00,NO,39.2,ug m-3,P
HP1,28/12/2018 09:00,NO,48.5,ug m-3,P
HP1,28/12/2018 10:00,NO,34.8,ug m-3,P
HP1,28/12/2018 11:00,NO,30.7,ug m-3,P
HP1,28/12/2018 12:00,NO,35.7,ug m-3,P
HP1,28/12/2018 13:00,NO,25.4,ug m-3,P
HP1,28/12/2018 14:00,NO,8.9,ug m-3,P
HP1,28/12/2018 15:00,NO,6.4,ug m-3,P
HP1,28/12/2018 16:00,NO,8.9,ug m-3,P
HP1,28/12/2018 17:00,NO,12.0,ug m-3,P
HP1,28/12/2018 18:00,NO,8.9,ug m-3,P
HP1,28/12/2018 19:00,NO,12.0,ug m-3,P
HP1,28/12/2018 20:00,NO,10.5,ug m-3,P
HP1,28/12/2018 21:00,NO,9.2,ug m-3,P
HP1,28/12/2018 22:00,NO,9.2,ug m-3,P
HP1,28/12/2018 23:00,NO,5.5,ug m-3,P
HP1,29/12/2018 00:00,NO,3.3,ug m-3,P
HP1,29/12/2018 01:00,NO,3.0,ug m-3,P
HP1,29/12/2018 02:00,NO,3.0,ug m-3,P
HP1,29/12/2018 03:00,NO,3.0,ug m-3,P
HP1,29/12/2018 04:00,NO,3.0,ug m-3,P
HP1,29/12/2018 05:00,NO,3.0,ug m-3,P
HP1,29/12/2018 06:00,NO,3.0,ug m-3,P
HP1,29/12/2018 07:00,NO,3.0,ug m-3,P
HP1,29/12/2018 08:00,NO,3.0,ug m-3,P
HP1,29/12/2018 09:00,NO,3.0,ug m-3,P
HP1,29/12/2018 10:00,NO,3.0,ug m-3,P
HP1,29/12/2018 11:00,NO,3.3,ug m-3,P
HP1,29/12/2018 12:00,NO,3.0,ug m-3,P
HP1,29/12/2018 13:00,NO,3.0,ug m-3,P
HP1,29/12/2018 14:00,NO,3.0,ug m-3,P
HP1,29/12/2018 15:00,NO,3.0,ug m-3,P
HP1,29/12/2018 16:00,NO,3.3,ug m-3,P
HP1,29/12/2018 17:00,NO,5.2,ug m-3,P
HP1,29/12/2018 18:00,NO,3.6,ug m-3,P
HP1,29/12/2018 19:00,NO,3.9,ug m-3,P
HP1,29/12/2018 20:00,NO,10.2,ug m-3,P
HP1,29/12/2018 21:00,NO,27.9,ug m-3,P
HP1,29/12/2018 22:00,NO,18.0,ug m-3,P
HP1,29/12/2018 23:00,NO,16.7,ug m-3,P
HP1,30/12/2018 00:00,NO,10.8,ug m-3,P
HP1,30/12/2018 01:00,NO,5.8,ug m-3,P
HP1,30/12/2018 02:00,NO,4.2,ug m-3,P
HP1,30/12/2018 03:00,NO,3.0,ug m-3,P
HP1,30/12/2018 04:00,NO,3.0,ug m-3,P
HP1,30/12/2018 05:00,NO,3.0,ug m-3,P
HP1,30/12/2018 06:00,NO,3.0,ug m-3,P
HP1,30/12/2018 07:00,NO,3.0,ug m-3,P
HP1,30/12/2018 08:00,NO,3.0,ug m-3,P
HP1,30/12/2018 09:00,NO,3.0,ug m-3,P
HP1,30/12/2018 10:00,NO,3.3,ug m-3,P
HP1,30/12/2018 11:00,NO,3.9,ug m-3,P
HP1,30/12/2018 12:00,NO,4.2,ug m-3,P
HP1,30/12/2018 13:00,NO,4.2,ug m-3,P
HP1,30/12/2018 14:00,NO,4.2,ug m-3,P
HP1,30/12/2018 15:00,NO,3.0,ug m-3,P
HP1,30/12/2018 16:00,NO,3.9,ug m-3,P
HP1,30/12/2018 17:00,NO,4.2,ug m-3,P
HP1,30/12/2018 18:00,NO,3.6,ug m-3,P
HP1,30/12/2018 19:00,NO,3.0,ug m-3,P
