Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AGO,Angola,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",0,1,-3.26309639819295,5.44951457868676,4.98245984723078,5.71552892996989,4.1950181977579,9.37441690459021,2.39899396705538,5.36335988720076,17.2837359195065,40.1570869489255,9.62430322660176,24.0092259074592,14.6267604702806,25.1120264019576,7.32852477172699,-4.25640309512017,-0.0835078708700572,-1.47778095991615,1.99453632534964,2.92119982672433,11.7804627333677
ARG,Argentina,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",0,1,1.2988816648031,1.28557881763899,1.93679057503646,1.17974376780762,1.41195326503931,2.17392651013229,2.55320333148075,3.12787913284676,2.43876804591039,8.46058148953317,3.66579065623452,0.806164238976914,2.10594174902883,1.27472756823048,2.69360932300224,2.87415362290855,2.58674615280064,2.48234159979244,2.97711920343975,1.30817236752397,1.71863908329567
ATG,Antigua and Barbuda,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",0,1,15.4780374266947,13.351382717752,4.63658937009655,3.33833620742862,4.95689663926607,6.37113088979756,3.57656233869657,3.95694956312597,3.67301847328825,7.94544559486708,6.49166060079785,14.1403177167994,9.23083238036538,22.0846515390952,9.85613829368031,25.4913079561425,35.4957704354058,29.2725027529135,14.4757331137752,10.7547831808244,5.66494323924903
AUT,Austria,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",0,1,0.396258982709296,0.209141663473539,0.747003481745445,0.599651814903653,1.05201832596035,0.797647740176978,1.9154860910605,1.26856432961623,2.19687089484019,1.42654887700779,4.45888750245658,3.10581993848192,0.154466985772882,2.81638406503409,1.34655063404574,26.9535968183817,0.768551793090167,17.1833027099015,1.59215455915312,2.28661400066519,-7.07276741623664
BDI,Burundi,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",0,1,0.110894210226116,0.0764520532874517,0.0554078910899608,0.0504648856962819,0.000427861408120401,0.198107378476825,1.15070315469403e-05,1.02785880980163e-05,0.223771014492754,0.0295343441697912,1.64770275065841,0.00138181263470899,1.71056610932221e-06,0.000776202115380259,0.00672552544837469,0.0734657964006961,0.00343850405628395,0.0510566187573412,0.32793291010055,0.02618027583592,0.875480081731929
BEL,Belgium,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",0,1,3.9724541935408,4.50832787110049,4.87262237471844,4.84905195865989,3.52409077416161,3.76174863094214,5.10609146594477,4.81012342949929,8.88889107469569,56.1433256025609,92.4989337331723,31.7180489710095,7.16197248275624,11.1005283193671,12.2996427208384,8.94379682898769,14.7395784008964,21.060568368238,27.0232364905556,5.37112125198423,13.4364056884407
BEN,Benin,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",0,1,3.38077909569338,6.43200230559872,4.77571291613671,0.0666479513836553,0.911840180387437,0.663414689724761,1.60852793546752,1.25259100943503,1.62566757716784,1.64467205987223,2.6492600796104,1.84917787834061,0.481168511566843,1.25721678806347,1.57740152492416,1.23718737223969,1.12359617774667,4.60216152489558,2.54139563495881,2.03112662197953,1.67238151741142
BFA,Burkina Faso,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",0,1,0.0148324433603359,0.0181814944278286,0.138959123140471,0.136293173631004,0.969320331639166,0.412552401009771,0.627285395333883,0.398984456665254,0.157122226098013,0.262913479833061,0.885024644920249,0.31397921859873,0.488301817381827,0.695864283458942,0.343127268883215,0.954834201081093,1.31924952016104,5.46955015396004,1.89496873063738,2.10552179047704,0.420932026965302
BGD,Bangladesh,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",0,1,0.0107497933272249,0.00449146992888449,0.011737580425406,0.0423616413870901,0.0330122304430682,0.00499837763604775,0.0332706101716021,0.329348086267395,0.431054233714549,0.393186601641826,0.594981587617097,0.167122036935599,0.110023607332336,0.516791195526743,0.793669546869144,1.34929476029113,1.12632262688135,0.954198199533117,1.26909861671883,0.798326946194988,0.966911262899451
BGR,Bulgaria,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",0,1,0.0192991509150498,0.510803226732379,0.400119534526687,0.369276235084198,1.0860518138001,0.691708573973125,1.2260533895526,5.02115245848682,4.11397327402668,6.18963535286969,7.76146182829727,5.86174643510683,5.6614856044469,10.1450105343265,10.5295442431405,14.9243456309047,23.3598203679615,31.3782675811132,19.2554471023196,6.9782263829978,4.54270261293499
BHS,"Bahamas, The",BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",0,1,-0.546430827542641,-0.0417850576633796,0.00964940495336121,0.876455368693402,0.718011660018411,3.11461067366579,2.43280687170962,4.99433746154352,3.11615803491592,2.89897956762729,4.52678950844785,1.80901197336945,2.58426905075425,3.20070508950334,4.5360342046379,8.65623266847753,10.2736767394406,9.86112723874614,11.7863459216021,9.38169109760611,11.4284425577076
