ARTIST,TITLE,YEAR,THEME,SPOTIFY_URL
Leroy Hutson,I’m So in Love,1973,Love,http://open.spotify.com/track/7yLQMOBHYEkFkFQcEoNEpR
The Impressions,I’m So Proud,1964,Love,http://open.spotify.com/track/6mLycrS3LfCUERnOWm8luW
Gregory Isaacs,Night Nurse,1982,Love,http://open.spotify.com/track/2lPfcRMRLffiBTwLA9S8Vc
The Isley Brothers,Summer Breeze,1973,Love,http://open.spotify.com/track/5tECQN3UPXULg4nzgkXM9r
Elton John,Are You Ready For Love,1979,Love,http://open.spotify.com/track/6TNHLD7QyX5KxdYmNwwDA6
Grace Jones,La Vie En Rose,1977,Love,http://open.spotify.com/track/50SLOKltoko04YawlAjDeH
Alicia Keys,No One,2007,Love,http://open.spotify.com/track/1exNQxJp0tHfKe85qUpRJF
Ben E King,Stand By Me,1961,Love,http://open.spotify.com/track/2FVHVmsUOyNnhlwtFLjoMF
The Kinks,You Really Got Me,1964,Love,http://open.spotify.com/track/0yjEOL4g41q4rAqoguFF0s
KD Lang,Constant Craving,1992,Love,http://open.spotify.com/track/77NdXr1ANwNkMEtgBNS2ZD
Bob Lind,Elusive Butterfly,1966,Love,http://open.spotify.com/track/226EXK5tPVsqaZ2y9RACR0
Bob Marley,Is This Love?,1978,Love,http://open.spotify.com/track/6wwxa6n8kSf3Bd0apxe0iy
Paul McCartney and Wings,My Love,1973,Love,http://open.spotify.com/track/5SL1Vx2h1ULwp1EKYKp1UN
Gwen McRae,90% of Me is You,1974,Love,http://open.spotify.com/track/4dz8fFVtr8dPMqGThk5Cbs
Merrilee and the Turnabouts,Angel of the Morning,1968,Love,-
Kylie Minogue,Can’t Get You Out of My Head,2001,Love,http://open.spotify.com/track/2HpWHLtZldOcDn5qzX8kb2
Joni Mitchell,Help Me,1974,Love,http://open.spotify.com/track/4gvV5Ib89fiwMtQ4biQQjd
Van Morrison,Madame George,1968,Love,http://open.spotify.com/track/0XGw1JFG1kE6rFi4rtvs7w
Randy Newman,You’ve Got a Friend,1995,Love,http://open.spotify.com/track/2O8YJmOg9lOgn5JNHF9Qi9
Roy Orbison,"Oh, Pretty Woman",1964,Love,http://open.spotify.com/track/2DGXmZPZ07HnWkFj3AayR0
Donny Osmond,Puppy Love,1972,Love,http://open.spotify.com/track/3ABtW1kSCzKlJGGDYFH7GV
Gram Parsons,She,1973,Love,http://open.spotify.com/track/0ik33iwk2do6Rf9rQs7e8X
Dolly Parton,I Will Always Love You,1974,Love,http://open.spotify.com/track/1n3q9eF2qqOaWHBBQHLRXw
Wilson Pickett,I’m in Love,1967,Love,http://open.spotify.com/track/4QDK12L3s53JECMOhx3mdh
The Pop Group,She is Beyond Good and Evil,1979,Love,http://open.spotify.com/track/2A99HGtYXdCZKYrvPqzA6v
Cole Porter,"Let’s Do It, Let’s Fall in Love",1928,Love,-
Elvis Presley,Can’t Help Falling in Love,1961,Love,http://open.spotify.com/track/3Aw5RpV5q1zn66ck2jOQjs
Elvis Presley,Love Me Tender,1956,Love,http://open.spotify.com/track/65An7RQuVbAipQIYhJu0YJ
The Pretenders,I’ll Stand By You,1994,Love,http://open.spotify.com/track/2bFG1ywgBAyZbJGMApTPfJ
Louis Prima and Keely Smith ,That Old Black Magic,1959,Love,http://open.spotify.com/track/0e7LFGPufvU4ITix9vNSuc
The Proclaimers,Let’s Get Married,1994,Love,http://open.spotify.com/track/3P7bVGMkeVSJBOqQXPNJit
Queen,You’re My Best Friend,1975,Love,http://open.spotify.com/track/0WMmdTiZrDkObaABU7mylW
A R Rahman,Kehma Hi Kya,1995,Love,-
The Righteous Brothers,Unchained Melody,1965,Love,http://open.spotify.com/track/2ACjOtICHXrAlP3ijVMSvb
Rihanna,Umbrella,2007,Love,http://open.spotify.com/track/0dOAByk7pJESaNScxIr5wI
Smokey Robinson and the Miracles,You’ve Really Got a Hold On Me,1962,Love,http://open.spotify.com/track/7oLlI6vGHjjFfLkq0fq89A
The Ronettes,Be My Baby,1963,Love,http://open.spotify.com/track/0eXzLs2mOlkZXeftGN0SNH
Mark Ronson featuring Amy Winehouse,Valerie,2007,Love,http://open.spotify.com/track/6wrRgHFLe5RgQLBVbnqCCe
Todd Rundgren,I Saw the Light,1972,Love,http://open.spotify.com/track/2QNMAvCnpIN6P43f8HPKp1
The Shangri-Las,Leader of the Pack,1964,Love,http://open.spotify.com/track/7rwBWEQ6APQBQ5sFDOytDb
The Shirelles,Will You Love Me Tomorrow?,1961,Love,http://open.spotify.com/track/5SqfqdRQBq3JttB5Nh08H2
Simon and Garfunkel,Bridge Over Troubled Water,1970,Love,http://open.spotify.com/track/1eAVDtuGhk1lVVjMbmFvsi
Frank Sinatra,Fly Me to the Moon,1966,Love,http://open.spotify.com/track/09ityNOMUHKZ1sldYGWRCk
Frank Sinatra,Get Me to the Church On Time,1966,Love,-
Frank Sinatra,Love and Marriage,1955,Love,http://open.spotify.com/track/16y88kDkX8kgzFHMnXr33D
Percy Sledge,True Love Travels on a Gravel Road,1969,Love,http://open.spotify.com/track/38r31rrb3wYnNPa3TCn4Mn
Labi Siffre,It Must Be Love,1971,Love,http://open.spotify.com/track/2kLNtPuucbm4kPhzWpuOOM
Patti Smith,Frederick,1979,Love,http://open.spotify.com/track/7AXFxcR4QfoTPaWinYCFB3
The Smiths,There is a Light That Never Goes Out,1986,Love,-
Sonny and Cher,I Got You Babe,1965,Love,http://open.spotify.com/track/4TbuzNasQqnKJc3bJdZ0wZ
Soul Brothers Six,You Gotta Come a Little Closer,1973,Love,-
The Spice Girls,Wannabe,1996,Love,http://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT
The Spinners,I’ll Be Around,1972,Love,http://open.spotify.com/track/2vLaES21zwbX1Rnmj56Bbb
Rod Stewart,Mandolin Wind,1971,Love,http://open.spotify.com/track/2YIJ6PXSWgwo25sE9eIzuU
The Stone Roses,She Bangs the Drums,1989,Love,http://open.spotify.com/track/5b6sFRZWMfcunej0zWE28r
Donna Summer,I Feel Love ,1977,Love,http://open.spotify.com/track/6efRrfjV1YW1rtecLUHoP1
The Supremes,Baby Love,1964,Love,http://open.spotify.com/track/5uM9zdUz8PpYJME9wZCM4W
The Supremes,Stoned Love,1970,Love,-
The Supremes,You Can’t Hurry Love,1966,Love,http://open.spotify.com/track/046ZhBbIMSnG3UXHXJD1cy
The Teenagers featuring Frankie Lymon,Why Do Fools Fall in Love?,1956,Love,http://open.spotify.com/track/2xKfXRhw5xaUXfevJJspZf
The Temptations,My Girl,1964,Love,http://open.spotify.com/track/0651FOAfvX33QIjpYL4F95
Them,Gloria,1964,Love,http://open.spotify.com/track/4VS4B6BjBK6liTPCf8O4aJ
Them/Van Morrison,Here Comes the Night,1965,Love,http://open.spotify.com/track/7knFQrGf88XnKjgyGrB70p
Ike and Tina Turner,"River Deep, Mountain High",1966,Love,http://open.spotify.com/track/4psjgB5e5HIuUeSVbEUY64
Twinkle,Terry,1964,Love,-
